Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2023-12-01,573.0,579.0,573.0,579.0,571.1051635742188,28051165,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-04,582.0,582.0,571.0,574.0,566.17333984375,26847171,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-05,571.0,572.0,567.0,570.0,562.2279052734375,22229723,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-06,568.0,575.0,568.0,570.0,562.2279052734375,21518089,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-07,570.0,573.0,566.0,566.0,558.2824096679688,20840397,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-08,574.0,577.0,570.0,570.0,562.2279052734375,33507214,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-11,572.0,575.0,570.0,574.0,566.17333984375,27378610,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-12,580.0,581.0,575.0,578.0,570.1188354492188,29403010,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-13,576.0,579.0,576.0,577.0,569.1324462890625,22977731,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-14,581.0,582.0,579.0,582.0,577.0645751953125,39409958,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-15,585.0,586.0,580.0,585.0,580.0391845703125,54323262,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-18,579.0,585.0,577.0,585.0,580.0391845703125,26122277,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-19,588.0,588.0,580.0,585.0,580.0391845703125,28254292,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-20,587.0,587.0,583.0,585.0,580.0391845703125,38121456,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-21,577.0,579.0,575.0,577.0,572.1069946289062,24923414,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-22,582.0,582.0,579.0,582.0,577.0645751953125,18690214,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-25,582.0,585.0,580.0,581.0,576.0730590820312,9548143,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-26,583.0,586.0,582.0,586.0,581.0306396484375,16094308,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-27,587.0,592.0,586.0,592.0,586.9798583984375,33401336,580.1905,580.1905,580.1905,580.1905,1740.5715,-580.1905
2023-12-28,592.0,593.0,589.0,593.0,587.9713134765625,25514849,579.55,61.6667,579.55,7.416,594.382,564.718
2023-12-29,589.0,593.0,589.0,593.0,587.9713134765625,18416318,580.25,61.6667,580.25,7.9992,596.2484,564.2516
